Customer_ID,Age,Income,Gender,Education,City,Region,Signup_Date,Signup_Channel,Churned
1,35,28000.0,Male,High School,Kotte,East,2023-05-18,Referral,0
2,59,21000.0,Male,Bachelor,Piliyandala,South,2023-02-21,Referral,0
3,56,30000.0,Male,PhD,Piliyandala,South,2023-01-15,,0
4,34,47000.0,Female,Master,Thimbirigasyaya,West,2023-03-25,Referral,1
5,31,20000.0,Male,High School,Avissawella,East,2023-05-11,Online,0
6,48,20000.0,Male,Bachelor,Kotte,East,2023-02-06,,1
7,41,49000.0,Female,Bachelor,Bambalapitiya,West,2023-05-06,Offline,1
8,52,32000.0,Male,Bachelor,Colombo,North,2023-02-09,Offline,0
9,61,17000.0,Female,PhD,Avissawella,East,2023-03-13,Offline,0
10,62,29000.0,Female,PhD,Kesbewa,South,2023-02-09,Referral,0
11,51,17000.0,Male,High School,Union Place,North,2023-02-25,Referral,0
12,20,17000.0,Female,High School,Piliyandala,South,2023-04-14,Online,1
13,54,25000.0,Female,PhD,Padukka,East,2023-05-19,Online,1
14,60,8000.0,Male,High School,Avissawella,East,2023-04-20,Offline,0
15,57,9000.0,Female,Master,Kottawa,East,2023-05-16,Online,0
16,43,17000.0,Female,Master,Wellawatthe,West,2023-04-03,Online,1
17,40,13000.0,Male,PhD,Kottawa,East,2023-04-04,Online,1
18,61,26000.0,Male,High School,Havelock,West,2023-02-25,Online,0
19,56,14000.0,Male,Bachelor,Pamankada,West,2023-03-01,Online,0
20,32,11000.0,Female,Master,Pamankada,West,2023-05-18,Offline,0
21,66,46000.0,Male,PhD,Kolonnawa,North,2023-02-08,Offline,1
22,21,20000.0,Female,High School,Colpetty,North,2023-01-28,Online,0
23,46,23000.0,Female,PhD,Colombo,North,2023-02-18,Offline,0
24,39,11000.0,Female,Bachelor,Colpetty,North,2023-05-05,,1
25,42,17000.0,Female,Master,Pamankada,West,2023-01-13,Online,1
26,30,23000.0,Female,PhD,Union Place,North,2023-02-05,Referral,1
27,35,12000.0,Female,PhD,Dehiwala,West,2023-04-11,Offline,0
28,50,27000.0,Female,PhD,Kottawa,East,2023-01-26,Offline,0
29,33,16000.0,Male,Bachelor,Piliyandala,South,2023-03-27,,1
30,62,19000.0,Male,PhD,Havelock,West,2023-01-04,Offline,0
31,59,16000.0,Female,Bachelor,Wellawatthe,West,2023-03-23,Online,0
32,61,56000.0,Female,Bachelor,Colombo,North,2023-05-07,Referral,0
33,19,22000.0,Male,Bachelor,Kotte,East,2023-03-29,Online,0
34,52,13000.0,Female,Master,Dehiwala,West,2023-05-07,Referral,0
35,59,33000.0,Male,Master,Kottawa,East,2023-04-30,Offline,1
36,51,12000.0,Male,PhD,Polgasowita,South,2023-01-22,Referral,1
37,47,24000.0,Male,PhD,Kesbewa,South,2023-05-10,Referral,1
38,30,8000.0,Female,Master,Kolonnawa,North,2023-01-31,Online,0
39,30,11000.0,Female,High School,Polgasowita,South,2023-04-29,Offline,0
40,35,24000.0,Male,Master,Ratmalana,South,2023-01-11,Online,0
41,49,32000.0,Male,Bachelor,Kolonnawa,North,2023-02-15,Offline,1
42,49,24000.0,Male,Master,Dehiwala,West,2023-04-06,Online,0
43,52,21000.0,Male,Bachelor,Malabe,East,2023-01-10,Referral,1
44,56,19000.0,Male,PhD,Avissawella,East,2023-05-08,Online,1
45,63,11000.0,Female,High School,Ratmalana,South,2023-04-09,Offline,0
46,69,15000.0,Male,PhD,Padukka,East,2023-04-22,Offline,0
47,46,17000.0,Female,Bachelor,Pamankada,West,2023-03-01,,1
48,66,37000.0,Male,Bachelor,Dehiwala,West,2023-03-28,Offline,1
49,46,26000.0,Female,Bachelor,Polgasowita,South,2023-05-25,Online,0
50,61,9000.0,Female,High School,Kesbewa,South,2023-03-06,Referral,0
51,33,26000.0,Female,Master,Aluthkade,North,2023-02-26,Offline,1
52,61,18000.0,Female,PhD,Havelock,West,2023-04-16,Offline,0
53,64,16000.0,Female,PhD,Moratuwa,South,2023-01-09,Online,0
54,27,30000.0,Female,Master,Thimbirigasyaya,West,2023-01-22,Online,0
55,47,37000.0,Male,PhD,Kolonnawa,North,2023-05-21,Referral,0
56,42,35000.0,Female,High School,Moratuwa,South,2023-03-30,Offline,0
57,56,14000.0,Male,PhD,Aluthkade,North,2023-01-18,Online,0
58,37,19000.0,Female,Bachelor,Bambalapitiya,West,2023-04-25,Referral,0
59,22,26000.0,Female,Master,Piliyandala,South,2023-05-25,Offline,0
60,18,36000.0,Male,High School,Kolonnawa,North,2023-05-23,Online,1
61,47,17000.0,Female,Master,Wellawatthe,West,2023-04-16,Referral,1
62,66,20000.0,Male,High School,Polgasowita,South,2023-01-15,Referral,1
63,20,13000.0,Male,Bachelor,Kotte,East,2023-03-04,Online,1
64,62,12000.0,Male,Master,Aluthkade,North,2023-01-13,Offline,0
65,31,33000.0,Male,PhD,Malabe,East,2023-03-22,Offline,0
66,47,43000.0,Female,High School,Colombo,North,2023-02-01,Offline,1
67,67,21000.0,Female,Master,Avissawella,East,2023-05-17,Referral,0
68,21,36000.0,Male,PhD,Kottawa,East,2023-02-09,Online,0
69,35,26000.0,Female,Master,Union Place,North,2023-05-28,Offline,1
70,54,16000.0,Female,Master,Thimbirigasyaya,West,2023-03-23,Referral,0
71,42,26000.0,Male,Master,Wellawatthe,West,2023-03-18,Offline,0
72,65,48000.0,Female,High School,Moratuwa,South,2023-03-17,Online,1
73,18,22000.0,Male,PhD,Thimbirigasyaya,West,2023-02-07,Online,1
74,63,48000.0,Male,Bachelor,Malabe,East,2023-03-12,Online,0
75,32,6000.0,Female,High School,Pamankada,West,2023-02-17,Online,1
76,26,33000.0,Female,High School,Colpetty,North,2023-01-18,Offline,1
77,32,23000.0,Female,High School,Aluthkade,North,2023-05-24,Offline,1
78,66,19000.0,Male,Bachelor,Avissawella,East,2023-02-08,Online,0
79,41,23000.0,Male,PhD,Polgasowita,South,2023-03-30,Referral,0
80,21,8000.0,Female,PhD,Thimbirigasyaya,West,2023-03-03,Online,1
81,29,20000.0,Female,PhD,Moratuwa,South,2023-05-21,Offline,1
82,54,26000.0,Female,Master,Kotte,East,2023-04-19,Offline,1
83,54,46000.0,Female,Master,Kolonnawa,North,2023-03-22,Referral,0
84,60,17000.0,Male,Master,Aluthkade,North,2023-05-14,Online,0
85,23,15000.0,Female,Bachelor,Aluthkade,North,2023-03-18,Online,1
86,56,17000.0,Male,Master,Kotte,East,2023-03-31,Online,0
87,63,35000.0,Male,Bachelor,Kottawa,East,2023-01-14,Offline,0
88,41,26000.0,Female,PhD,Polgasowita,South,2023-04-05,Online,0
89,28,17000.0,Female,Master,Piliyandala,South,2023-02-23,Referral,0
90,30,28000.0,Female,Master,Malabe,East,2023-05-12,Offline,1
91,51,23000.0,Male,High School,Bambalapitiya,West,2023-02-08,Offline,1
92,42,36000.0,Female,Bachelor,Colpetty,North,2023-03-13,Online,0
93,24,16000.0,Female,PhD,Colombo,North,2023-01-25,Referral,0
94,69,19000.0,Male,High School,Kesbewa,South,2023-03-18,Offline,1
95,21,18000.0,Female,High School,Kolonnawa,North,2023-04-30,Offline,0
96,25,11000.0,Male,PhD,Union Place,North,2023-02-22,Online,0
97,37,26000.0,Female,High School,Kesbewa,South,2023-05-11,Online,1
98,46,25000.0,Male,Bachelor,Colpetty,North,2023-05-30,Referral,0
99,68,22000.0,Female,Bachelor,Union Place,North,2023-04-06,Offline,1
100,62,20000.0,Female,Master,Colombo,North,2023-03-13,Referral,0
101,63,11000.0,Male,High School,Colombo,North,2023-03-03,Offline,0
102,27,18000.0,Male,Master,Kottawa,East,2023-01-06,Referral,0
103,60,19000.0,Female,High School,Havelock,West,2023-02-01,Referral,1
104,51,15000.0,Male,Bachelor,Dehiwala,West,2023-04-09,Referral,0
105,43,20000.0,Male,Bachelor,Ratmalana,South,2023-05-18,Offline,0
106,58,27000.0,Male,Bachelor,Pamankada,West,2023-05-11,Online,1
107,66,57000.0,Male,High School,Aluthkade,North,2023-03-17,Offline,0
108,20,24000.0,Female,Bachelor,Malabe,East,2023-02-28,Online,0
109,23,25000.0,Female,High School,Kottawa,East,2023-01-31,Referral,0
110,22,21000.0,Male,Master,Malabe,East,2023-04-03,Referral,1
111,22,8000.0,Male,High School,Wellawatthe,West,2023-03-10,,0
112,64,22000.0,Male,Master,Wellawatthe,West,2023-02-21,Referral,0
113,40,23000.0,Male,High School,Moratuwa,South,2023-03-30,Referral,0
114,66,75000.0,Female,Master,Union Place,North,2023-05-07,Online,0
115,26,20000.0,Female,Bachelor,Piliyandala,South,2023-01-31,Online,1
116,52,26000.0,Male,Master,Kolonnawa,North,2023-03-25,Referral,1
117,37,22000.0,Male,Bachelor,Bambalapitiya,West,2023-05-07,Offline,1
118,66,12000.0,Male,Bachelor,Havelock,West,2023-05-30,Offline,1
119,59,39000.0,Female,Master,Kotte,East,2023-05-12,Referral,1
120,52,32000.0,Male,High School,Moratuwa,South,2023-01-13,Online,0
121,67,33000.0,Female,High School,Colombo,North,2023-02-14,Offline,1
122,35,14000.0,Male,PhD,Colpetty,North,2023-05-07,Offline,0
123,34,44000.0,Female,High School,Wellawatthe,West,2023-04-24,Offline,0
124,41,11000.0,Male,PhD,Avissawella,East,2023-01-20,Referral,1
125,20,30000.0,Female,High School,Pamankada,West,2023-03-22,Offline,0
126,49,66000.0,Male,High School,Union Place,North,2023-05-09,Offline,1
127,52,13000.0,Male,Bachelor,Aluthkade,North,2023-05-23,Offline,0
128,55,17000.0,Male,PhD,Malabe,East,2023-01-17,Offline,1
129,30,23000.0,Female,High School,Avissawella,East,2023-02-27,Online,0
130,64,17000.0,Male,PhD,Colpetty,North,2023-03-13,Referral,1
131,42,10000.0,Female,Bachelor,Padukka,East,2023-04-19,Referral,1
132,26,23000.0,Female,Bachelor,Malabe,East,2023-01-23,Online,0
133,21,13000.0,Male,PhD,Ratmalana,South,2023-03-13,Online,0
134,31,28000.0,Male,Bachelor,Dehiwala,West,2023-01-08,Referral,0
135,54,14000.0,Male,Master,Pamankada,West,2023-02-28,Offline,0
136,51,48000.0,Female,Master,Moratuwa,South,2023-04-21,Offline,1
137,28,15000.0,Male,Bachelor,Kottawa,East,2023-01-13,Referral,1
138,58,19000.0,Female,Master,Thimbirigasyaya,West,2023-01-16,Offline,0
139,20,33000.0,Female,High School,Ratmalana,South,2023-04-29,Online,1
140,45,12000.0,Male,PhD,Union Place,North,2023-01-02,Offline,1
141,46,25000.0,Male,High School,Union Place,North,2023-05-25,Offline,0
142,26,42000.0,Male,PhD,Ratmalana,South,2023-01-30,Offline,1
143,20,10000.0,Male,Bachelor,Union Place,North,2023-04-13,Referral,1
144,42,24000.0,Male,High School,Aluthkade,North,2023-01-13,Online,0
145,51,25000.0,Male,Bachelor,Moratuwa,South,2023-04-06,Offline,0
146,29,33000.0,Female,Bachelor,Colpetty,North,2023-04-04,Referral,0
147,59,12000.0,Female,PhD,Pamankada,West,2023-03-23,Offline,1
148,26,11000.0,Female,PhD,Polgasowita,South,2023-01-13,Online,1
149,32,29000.0,Male,PhD,Wellawatthe,West,2023-04-04,Offline,1
150,57,26000.0,Female,High School,Avissawella,East,2023-05-29,Online,0
151,42,25000.0,Female,Master,Kottawa,East,2030-01-01,Offline,0
152,22,26000.0,Female,PhD,Havelock,West,2023-02-24,Online,0
153,28,16000.0,Female,PhD,Wellawatthe,West,2023-03-22,Offline,0
154,51,25000.0,Female,High School,Avissawella,East,2023-04-26,Online,1
155,41,26000.0,Male,PhD,Bambalapitiya,West,2023-05-23,Offline,1
156,32,15000.0,Male,High School,Colpetty,North,2023-04-18,Offline,1
157,55,56000.0,Female,Bachelor,Union Place,North,2023-02-22,Referral,1
158,25,28000.0,Female,PhD,Union Place,North,2023-05-08,Referral,0
159,22,12000.0,Female,PhD,Polgasowita,South,2023-02-26,Online,0
160,65,31000.0,Male,Bachelor,Wellawatthe,West,2023-02-21,Offline,0
161,43,14000.0,Male,Bachelor,Avissawella,East,2023-05-17,Online,1
162,35,33000.0,Female,Bachelor,Kolonnawa,North,2023-04-21,Referral,1
163,23,39000.0,Male,PhD,Avissawella,East,2023-01-01,Online,0
164,54,15000.0,Male,Master,Thimbirigasyaya,West,2023-02-13,Online,0
165,65,36000.0,Female,Master,Dehiwala,West,2023-03-16,Referral,0
166,30,27000.0,Male,Master,Aluthkade,North,2023-04-08,Offline,0
167,45,33000.0,Male,PhD,Ratmalana,South,2023-01-09,Online,0
