Customer_ID,Signup_Date,Signup_Channel
1,2023-05-18,Referral
2,2023-02-21,Referral
3,2023-01-15,
4,2023-03-25,Referral
5,2023-05-11,Online
6,2023-02-06,
7,2023-05-06,Offline
8,2023-02-09,Offline
9,2023-03-13,Offline
10,2023-02-09,Referral
11,2023-02-25,Referral
12,2023-04-14,Online
13,2023-05-19,Online
14,2023-04-20,Offline
15,2023-05-16,Online
16,2023-04-03,Online
17,2023-04-04,Online
18,2023-02-25,Online
19,2023-03-01,Online
20,2023-05-18,Offline
21,2023-02-08,Offline
22,2023-01-28,Online
23,2023-02-18,Offline
24,2023-05-05,
25,2023-01-13,Online
26,2023-02-05,Referral
27,2023-04-11,Offline
28,2023-01-26,Offline
29,2023-03-27,
30,2023-01-04,Offline
31,2023-03-23,Online
32,2023-05-07,Referral
33,2023-03-29,Online
34,2023-05-07,Referral
35,2023-04-30,Offline
36,2023-01-22,Referral
37,2023-05-10,Referral
38,2023-01-31,Online
39,2023-04-29,Offline
40,2023-01-11,Online
41,2023-02-15,Offline
42,2023-04-06,Online
43,2023-01-10,Referral
44,2023-05-08,Online
45,2023-04-09,Offline
46,2023-04-22,Offline
47,2023-03-01,
48,2023-03-28,Offline
49,2023-05-25,Online
50,2023-03-06,Referral
51,2023-02-26,Offline
52,2023-04-16,Offline
53,2023-01-09,Online
54,2023-01-22,Online
55,2023-05-21,Referral
56,2023-03-30,Offline
57,2023-01-18,Online
58,2023-04-25,Referral
59,2023-05-25,Offline
60,2023-05-23,Online
61,2023-04-16,Referral
62,2023-01-15,Referral
63,2023-03-04,Online
64,2023-01-13,Offline
65,2023-03-22,Offline
66,2023-02-01,Offline
67,2023-05-17,Referral
68,2023-02-09,Online
69,2023-05-28,Offline
70,2023-03-23,Referral
71,2023-03-18,Offline
72,2023-03-17,Online
73,2023-02-07,Online
74,2023-03-12,Online
75,2023-02-17,Online
76,2023-01-18,Offline
77,2023-05-24,Offline
78,2023-02-08,Online
79,2023-03-30,Referral
80,2023-03-03,Online
81,2023-05-21,Offline
82,2023-04-19,Offline
83,2023-03-22,Referral
84,2023-05-14,Online
85,2023-03-18,Online
86,2023-03-31,Online
87,2023-01-14,Offline
88,2023-04-05,Online
89,2023-02-23,Referral
90,2023-05-12,Offline
91,2023-02-08,Offline
92,2023-03-13,Online
93,2023-01-25,Referral
94,2023-03-18,Offline
95,2023-04-30,Offline
96,2023-02-22,Online
97,2023-05-11,Online
98,2023-05-30,Referral
99,2023-04-06,Offline
100,2023-03-13,Referral
101,2023-03-03,Offline
102,2023-01-06,Referral
103,2023-02-01,Referral
104,2023-04-09,Referral
105,2023-05-18,Offline
106,2023-05-11,Online
107,2023-03-17,Offline
108,2023-02-28,Online
109,2023-01-31,Referral
110,2023-04-03,Referral
111,2023-03-10,
112,2023-02-21,Referral
113,2023-03-30,Referral
114,2023-05-07,Online
115,2023-01-31,Online
116,2023-03-25,Referral
117,2023-05-07,Offline
118,2023-05-30,Offline
119,2023-05-12,Referral
120,2023-01-13,Online
121,2023-02-14,Offline
122,2023-05-07,Offline
123,2023-04-24,Offline
124,2023-01-20,Referral
125,2023-03-22,Offline
126,2023-05-09,Offline
127,2023-05-23,Offline
128,2023-01-17,Offline
129,2023-02-27,Online
130,2023-03-13,Referral
131,2023-04-19,Referral
132,2023-01-23,Online
133,2023-03-13,Online
134,2023-01-08,Referral
135,2023-02-28,Offline
136,2023-04-21,Offline
137,2023-01-13,Referral
138,2023-01-16,Offline
139,2023-04-29,Online
140,2023-01-02,Offline
141,2023-05-25,Offline
142,2023-01-30,Offline
143,2023-04-13,Referral
144,2023-01-13,Online
145,2023-04-06,Offline
146,2023-04-04,Referral
147,2023-03-23,Offline
148,2023-01-13,Online
149,2023-04-04,Offline
150,2023-05-29,Online
151,2030-01-01,Offline
152,2023-02-24,Online
153,2023-03-22,Offline
154,2023-04-26,Online
155,2023-05-23,Offline
156,2023-04-18,Offline
157,2023-02-22,Referral
158,2023-05-08,Referral
159,2023-02-26,Online
160,2023-02-21,Offline
161,2023-05-17,Online
162,2023-04-21,Referral
163,2023-01-01,Online
164,2023-02-13,Online
165,2023-03-16,Referral
166,2023-04-08,Offline
167,2023-01-09,Online
168,2023-02-01,Referral
169,2023-01-15,Offline
170,2023-05-20,Referral
171,2023-05-16,Online
172,2023-03-13,Offline
173,2023-01-12,Offline
174,2023-03-06,Referral
175,2023-04-17,Referral
176,2023-02-11,Offline
177,2023-04-25,Offline
178,2023-05-19,Offline
179,2023-04-13,Online
180,2023-04-05,Offline
181,2023-01-17,Online
182,2023-03-26,Referral
183,2023-02-25,Referral
184,2023-05-14,Offline
185,2023-03-27,Referral
186,2023-04-12,Referral
187,2023-02-23,Offline
188,2023-04-25,Online
189,2023-05-19,Offline
190,2023-03-29,Online
191,2023-02-18,Offline
192,2023-05-29,Offline
193,2023-04-25,Referral
194,2023-03-04,Offline
195,2023-04-14,Offline
196,2023-03-24,
197,2023-04-13,Referral
198,2023-01-17,Online
199,2023-01-06,Online
200,2023-05-27,Referral
201,2023-01-28,Referral
202,2023-02-07,Referral
203,2023-04-29,Offline
204,2023-02-06,Referral
205,2023-04-25,Referral
206,2023-03-09,Offline
207,2023-02-12,Online
208,2023-02-27,Online
209,2023-01-13,Offline
210,2023-02-21,Online
211,2023-02-27,Offline
212,2023-02-01,Online
213,2023-04-15,Referral
214,2023-03-24,Online
215,2023-04-09,Offline
216,2023-04-14,Online
217,2023-01-28,Referral
218,2023-05-09,Online
219,2023-02-17,Referral
220,2023-02-09,Referral
221,2023-04-07,Offline
222,2023-04-24,Referral
223,2023-05-12,Referral
224,2023-05-17,Online
225,2023-04-21,
226,2023-05-24,Referral
227,2023-03-17,Referral
228,2023-01-31,Referral
229,2023-04-29,Offline
230,2023-05-22,
231,2023-01-25,Referral
232,2023-02-03,Referral
233,2023-03-08,Offline
234,2023-04-28,Referral
235,2023-03-14,Offline
236,2023-01-26,Online
237,2023-05-28,Online
238,2023-04-14,Referral
239,2023-01-10,Referral
240,2023-03-08,Referral
241,2023-01-05,Offline
242,2023-01-27,Referral
243,2023-04-23,Referral
244,2023-01-15,Online
245,2023-04-15,Referral
246,2023-02-13,Online
247,2023-01-26,Referral
248,2023-04-05,Online
249,2023-03-25,Referral
250,2023-05-20,Online
251,2023-05-12,Offline
252,2023-03-28,Online
253,2023-04-22,Online
254,2023-05-09,Online
255,2023-03-30,Referral
256,2023-03-07,Referral
257,2023-05-11,Referral
258,2023-05-02,Offline
259,2023-05-29,Offline
260,2023-03-25,Online
261,2023-04-26,Offline
262,2023-04-26,Online
263,2023-02-07,Online
264,2023-05-23,Online
265,2023-04-20,Online
266,2023-02-15,Referral
267,2023-01-25,Offline
268,2023-01-21,Online
269,2023-05-01,Online
270,2023-05-02,Offline
271,2023-05-13,Online
272,2023-03-11,Online
273,2023-04-23,Offline
274,2023-04-17,Offline
275,2023-04-22,Offline
276,2023-04-18,Offline
277,2023-02-16,Online
278,2023-04-01,Referral
279,2023-01-18,Referral
280,2023-05-29,Offline
281,2023-04-14,Referral
282,2023-02-09,Online
283,2023-05-18,Referral
284,2023-03-30,Online
285,2023-03-02,Offline
286,2023-01-05,Offline
287,2023-05-02,Online
288,2023-02-24,Referral
289,2023-02-06,Offline
290,2023-02-25,Offline
291,2023-04-12,Referral
292,2023-04-03,Referral
293,2023-03-14,Online
294,2023-02-28,Referral
295,2023-01-02,Referral
296,2023-04-14,Referral
297,2023-02-20,Online
298,2023-01-30,Online
299,2023-01-11,Offline
300,2023-04-18,Online
301,2023-03-17,Offline
302,2023-03-31,Referral
303,2023-05-03,Offline
304,2023-05-05,Offline
305,2023-05-02,Referral
306,2023-04-04,Online
307,2023-04-13,Online
308,2023-01-31,Online
309,2023-02-21,Online
310,2023-03-30,Online
311,2023-03-17,Offline
312,2023-05-09,Offline
313,2023-01-22,Referral
314,2023-02-09,Offline
315,2023-04-11,Offline
316,2023-04-21,Offline
317,2023-05-09,Referral
318,2023-03-06,Online
319,2023-05-29,Offline
320,2023-03-20,Referral
321,2023-01-22,Referral
322,2023-04-09,Referral
323,2023-01-08,Online
324,2023-01-17,Offline
325,2023-01-17,
326,2023-03-31,Online
327,2023-05-21,Online
328,2023-05-25,Referral
329,2023-03-22,Referral
330,2023-03-19,Referral
331,2023-01-06,Referral
332,2023-04-20,Online
333,2023-01-14,Offline
334,2023-03-13,Offline
335,2023-05-23,Offline
336,2023-02-23,Offline
337,2023-01-27,Online
338,2023-01-13,Online
339,2023-03-01,Online
340,2023-01-06,Referral
341,2023-02-27,Referral
342,2023-02-18,Referral
343,2023-01-26,Offline
344,2023-02-16,Referral
345,2023-01-05,Offline
346,2023-01-20,Referral
347,2023-05-14,Offline
348,2023-02-28,Referral
349,2023-05-26,Referral
350,2023-05-12,Online
351,2023-01-17,
352,2023-01-14,Referral
353,2023-01-13,Online
354,2023-05-15,Offline
355,2023-05-08,Online
356,2023-02-13,Online
357,2023-04-29,Offline
358,2023-05-23,Referral
359,2023-01-19,Offline
360,2023-03-04,Referral
361,2023-03-22,Referral
362,2023-05-27,Offline
363,2023-05-28,Online
364,2023-04-10,Offline
365,2023-05-02,Referral
366,2023-02-13,Offline
367,2023-04-14,Offline
368,2023-03-02,Referral
369,2023-05-05,Online
370,2023-05-25,Offline
371,2023-03-12,Referral
372,2023-04-17,Referral
373,2023-02-19,Online
374,2023-03-06,Online
375,2023-04-09,Offline
376,2023-02-01,Online
377,2023-05-21,Online
378,2023-02-27,Online
379,2023-05-08,Online
380,2023-05-22,Offline
381,2023-04-22,Referral
382,2023-03-09,Referral
383,2023-02-09,Referral
384,2023-05-24,Referral
385,2023-05-12,Referral
386,2023-03-31,Referral
387,2023-01-28,Offline
388,2023-04-06,Online
389,2023-01-31,Referral
390,2023-01-03,Offline
391,2023-05-16,Referral
392,2023-01-24,Referral
393,2023-01-15,Online
394,2023-02-14,Online
395,2023-01-08,Online
396,2023-03-12,Referral
397,2023-04-18,Referral
398,2023-04-25,Referral
399,2023-04-13,
400,2023-05-05,Offline
401,2023-02-26,Referral
402,2023-01-30,Referral
403,2023-05-26,Referral
404,2023-04-24,Offline
405,2023-04-27,Referral
406,2023-03-01,Offline
407,2023-04-08,Referral
408,2023-05-06,Offline
409,2023-04-04,Referral
410,2023-05-14,Online
411,2023-05-02,Online
412,2023-04-18,Online
413,2023-01-04,Online
414,2023-04-03,Referral
415,2023-01-06,Online
416,2023-02-01,Online
417,2023-04-16,Online
418,2023-05-26,Online
419,2023-01-15,Online
420,2023-05-02,Referral
421,2023-04-06,Online
422,2023-01-06,Offline
423,2023-04-22,Online
424,2023-04-30,Offline
425,2023-05-03,Online
426,2023-03-08,Offline
427,2023-04-16,Online
428,2023-05-19,Referral
429,2023-02-12,Offline
430,2023-05-25,Online
431,2023-04-06,Offline
432,2023-05-12,Referral
433,2023-03-22,Offline
434,2023-02-10,Online
435,2023-05-13,Offline
436,2023-02-04,Offline
437,2023-01-22,Online
438,2023-05-30,Online
439,2023-04-22,Offline
440,2023-01-11,Offline
441,2023-01-03,Referral
442,2023-05-17,Referral
443,2023-03-01,Online
444,2023-03-17,Referral
445,2023-03-28,Online
446,2023-01-14,
447,2023-01-18,Offline
448,2023-04-23,Online
449,2023-03-14,Online
450,2023-01-23,Offline
451,2023-03-24,Referral
452,2023-05-05,Offline
453,2023-03-10,Online
454,2023-02-16,Offline
455,2023-04-26,Online
456,2023-01-30,Online
457,2023-01-25,Offline
458,2023-04-22,Referral
459,2023-01-25,Offline
460,2023-03-15,Online
461,2023-02-27,Offline
462,2023-04-04,Online
463,2023-04-29,Referral
464,2023-05-07,Referral
465,2023-01-25,Referral
466,2023-03-19,Online
467,2023-04-09,Offline
468,2023-04-26,Referral
469,2023-02-17,Online
470,2023-01-10,Online
471,2023-04-09,Offline
472,2023-01-11,Referral
473,2023-03-26,Online
474,2023-05-29,Offline
475,2023-05-15,Referral
476,2023-05-06,Offline
477,2023-03-05,Offline
478,2023-01-02,Offline
479,2023-03-17,
480,2023-05-01,Online
481,2023-02-11,Offline
482,2023-02-23,Online
483,2023-03-16,Offline
484,2023-01-16,Offline
485,2023-01-18,Online
486,2023-03-31,Referral
487,2023-05-24,Referral
488,2023-01-06,Referral
489,2023-04-18,Offline
490,2023-02-17,Offline
491,2023-02-11,Offline
492,2023-03-17,Online
493,2023-03-18,Offline
494,2023-05-12,Online
495,2023-05-10,Online
496,2023-02-28,Referral
497,2023-01-27,Referral
498,2023-03-20,Referral
499,2023-03-13,Offline
500,2023-01-07,Online
501,2023-04-21,Online
502,2023-04-29,Offline
503,2023-03-04,Online
504,2023-05-04,Referral
505,2023-01-12,Referral
506,2023-05-21,Online
507,2023-02-12,Online
508,2023-01-17,Referral
509,2023-03-04,Online
510,2023-04-30,Referral
511,2023-02-05,Offline
512,2023-01-08,Referral
513,2023-03-10,Offline
514,2023-03-31,Online
515,2023-02-05,Online
516,2023-01-28,
517,2023-04-28,Online
518,2023-04-03,Offline
519,2023-03-17,Offline
520,2023-04-11,Referral
521,2023-05-24,Online
522,2023-01-14,Referral
523,2023-03-12,Referral
524,2023-05-04,Offline
525,2023-05-05,Online
526,2023-02-06,Online
527,2023-01-29,Online
528,2023-05-23,Referral
529,2023-01-19,Referral
530,2023-04-16,Online
531,2023-01-21,Online
532,2023-03-05,Offline
533,2023-01-27,Offline
534,2023-02-24,Offline
535,2023-01-29,Online
536,2023-05-28,Offline
537,2023-01-25,Online
538,2023-03-11,Referral
539,2023-03-04,Offline
540,2023-05-10,Offline
541,2023-05-30,Referral
542,2023-01-16,Referral
543,2023-05-26,Referral
544,2023-04-10,Online
545,2023-01-30,Referral
546,2023-02-14,Online
547,2023-01-19,Offline
548,2023-02-03,Offline
549,2023-05-21,Referral
550,2023-03-03,Online
551,2023-04-28,Referral
552,2023-04-10,Referral
553,2023-01-22,Online
554,2023-04-21,Online
555,2023-03-14,Offline
556,2023-05-27,Referral
557,2023-02-07,Online
558,2023-03-11,Online
559,2023-04-26,Offline
560,2023-03-20,Online
561,2023-05-28,Online
562,2023-01-09,Offline
563,2023-02-01,Referral
564,2023-05-12,Offline
565,2023-02-19,Online
566,2023-03-23,Offline
567,2023-01-05,Referral
568,2023-05-28,Offline
569,2023-03-28,Referral
570,2023-05-06,Offline
571,2023-03-16,Referral
572,2023-01-22,Offline
573,2023-03-09,Online
574,2023-02-13,Referral
575,2023-02-03,Online
576,2023-03-18,Referral
577,2023-02-11,
578,2023-05-17,Offline
579,2023-04-16,Referral
580,2023-04-05,Offline
581,2023-05-15,Online
582,2023-03-09,Referral
583,2023-05-27,Online
584,2023-05-08,Referral
585,2023-03-26,Referral
586,2023-03-24,Referral
587,2023-04-05,Offline
588,2023-02-01,Online
589,2023-03-07,Referral
590,2023-04-26,Offline
591,2023-05-18,
592,2023-05-10,Offline
593,2023-03-01,Referral
594,2023-01-17,Online
595,2023-04-06,Online
596,2023-05-24,Referral
597,2023-01-16,Offline
598,2023-02-15,Referral
599,2023-04-17,Offline
600,2023-03-29,Online
601,2023-05-09,Offline
602,2023-05-19,Online
603,2023-04-29,Referral
604,2023-03-26,Online
605,2023-01-04,Online
606,2023-03-12,Referral
607,2023-04-21,Referral
608,2023-02-19,Offline
609,2023-05-20,Offline
610,2023-04-05,Online
611,2023-04-02,Offline
612,2023-03-06,Offline
613,2023-02-16,Referral
614,2023-04-16,
615,2023-05-10,Online
616,2023-04-16,Offline
617,2023-01-24,Online
618,2023-01-04,Referral
619,2023-04-18,Online
620,2023-01-19,Referral
621,2023-02-09,Referral
622,2023-02-19,Offline
623,2023-03-16,Referral
624,2023-01-12,Referral
625,2023-01-27,Offline
626,2023-04-23,Online
627,2023-02-18,Referral
628,2023-05-24,Referral
629,2023-05-10,Offline
630,2023-03-01,Online
631,2023-01-30,Offline
632,2023-03-25,Referral
633,2023-01-28,Offline
634,2023-01-25,Online
635,2023-04-06,Offline
636,2023-05-05,Referral
637,2023-01-10,Offline
638,2023-02-11,Offline
639,2023-02-09,Referral
640,2023-03-18,Offline
641,2023-04-15,Referral
642,2023-04-28,Referral
643,2023-02-11,Offline
644,2023-02-16,Online
645,2023-01-22,Online
646,2023-04-17,Online
647,2023-01-27,
648,2023-02-10,Offline
649,2023-03-21,Offline
650,2023-03-30,Referral
651,2023-03-07,Referral
652,2023-01-12,Offline
653,2023-03-14,Online
654,2023-03-17,Referral
655,2023-03-31,Referral
656,2023-01-10,Offline
657,2023-04-06,Referral
658,2023-01-20,Offline
659,2023-02-08,Referral
660,2023-03-01,Referral
661,2023-03-07,Offline
662,2023-03-06,Referral
663,2023-05-04,Online
664,2023-05-10,Offline
665,2023-02-26,Online
666,2023-03-19,
667,2023-01-29,Offline
668,2023-01-15,Referral
669,2023-01-12,Online
670,2023-04-11,Online
671,2023-03-25,Referral
672,2023-05-05,Referral
673,2023-04-13,Online
674,2023-01-24,Referral
675,2023-05-29,Online
676,2030-01-01,
677,2023-04-20,Referral
678,2023-03-19,Offline
679,2023-04-11,Referral
680,2023-05-26,Offline
681,2023-05-22,Referral
682,2023-05-08,Online
683,2023-02-27,Online
684,2023-03-17,Referral
685,2023-05-30,Referral
686,2023-02-05,Online
687,2023-01-22,Referral
688,2023-05-07,Offline
689,2023-03-21,Offline
690,2023-04-10,Offline
691,2023-04-06,Offline
692,2023-05-28,Offline
693,2023-01-18,Referral
694,2023-02-07,Referral
695,2023-04-19,Offline
696,2023-05-03,Referral
697,2023-05-24,Referral
698,2023-05-29,
699,2023-04-14,Referral
700,2023-05-20,Referral
701,2023-05-24,Referral
702,2023-03-22,Offline
703,2023-03-28,Referral
704,2023-05-22,Referral
705,2023-03-02,Online
706,2023-02-15,Offline
707,2023-02-01,Online
708,2023-01-15,Offline
709,2023-02-13,Online
710,2023-05-25,Online
711,2023-02-23,Online
712,2023-02-13,Offline
713,2023-04-08,Offline
714,2023-01-05,Referral
715,2023-04-19,Offline
716,2023-01-27,Online
717,2023-04-26,Online
718,2023-03-28,Offline
719,2023-04-14,Offline
720,2023-05-03,Offline
721,2023-03-20,Referral
722,2023-02-12,Online
723,2023-04-07,Referral
724,2023-01-31,Referral
725,2023-04-09,Online
726,2023-01-17,Online
727,2023-03-24,Offline
728,2023-04-20,Offline
729,2023-02-01,Referral
730,2023-05-21,Offline
731,2023-02-04,Offline
732,2023-05-13,Online
733,2023-01-29,Online
734,2023-03-11,Offline
735,2023-04-05,Online
736,2023-01-22,Offline
737,2023-03-10,Online
738,2023-03-30,Online
739,2023-03-13,Online
740,2023-05-09,Online
741,2023-03-28,Offline
742,2023-04-06,Referral
743,2023-03-16,Online
744,2023-02-23,Offline
745,2023-03-29,Offline
746,2023-02-23,Online
747,2023-01-16,Referral
748,2023-04-09,Online
749,2023-01-20,Offline
750,2023-02-15,Referral
751,2023-05-07,Offline
752,2023-02-27,Online
753,2023-04-21,Referral
754,2023-05-09,
755,2030-01-01,Offline
756,2023-03-25,Offline
757,2023-03-11,Online
758,2023-01-08,Referral
759,2023-01-29,Online
760,2023-04-22,Online
761,2023-05-11,Online
762,2023-04-18,Referral
763,2023-04-19,Online
764,2023-01-20,Online
765,2023-03-14,Online
766,2023-01-04,Online
767,2023-01-19,Offline
768,2023-04-12,
769,2023-05-21,Offline
770,2023-05-21,Online
771,2023-03-27,Referral
772,2023-02-21,Offline
773,2023-04-21,Offline
774,2023-04-19,Offline
775,2023-03-27,Offline
776,2023-02-12,Referral
777,2023-02-11,Online
778,2023-03-31,Offline
779,2023-04-25,Referral
780,2023-01-26,Offline
781,2023-02-12,Online
782,2023-03-18,Offline
783,2023-05-17,Referral
784,2023-01-20,Online
785,2023-02-08,Referral
786,2023-01-12,Online
787,2023-01-11,Online
788,2023-02-11,Online
789,2023-01-11,Offline
790,2023-02-07,Referral
791,2023-04-08,Referral
792,2023-01-19,Referral
793,2023-05-14,Online
794,2023-04-26,Offline
795,2023-04-23,Online
796,2023-03-06,Referral
797,2023-04-09,Offline
798,2023-03-13,Offline
799,2023-02-21,Offline
800,2023-04-28,Referral
